query_id,rank,candidate_tile_id,score,candidate_scale_level_m,candidate_center_x,candidate_center_y,is_truth_hit
q_200m_02,2,s120_x254287.293_y3364137.454,0.7901561260223389,120,254287.29280875245,3364137.454095203,0
q_200m_02,3,s120_x254287.293_y3364317.454,0.7884694933891296,120,254287.29280875245,3364317.454095203,0
q_200m_02,4,s80_x254414.835_y3365185.528,0.7851552367210388,80,254414.83531152448,3365185.5278006354,0
q_200m_02,5,s120_x254481.063_y3364926.491,0.7791846990585327,120,254481.06292971745,3364926.490741796,0
q_200m_02,6,s120_x254649.058_y3364464.565,0.7698119878768921,120,254649.0576404855,3364464.5652137767,0
q_200m_02,7,s80_x254267.293_y3364327.454,0.7672408223152161,80,254267.29280875245,3364327.454095203,0
q_200m_02,8,s200_x254297.293_y3364357.454,0.7667490243911743,200,254297.29280875245,3364357.454095203,0
q_200m_02,9,s120_x254211.063_y3364476.491,0.7662693858146667,120,254211.06292971745,3364476.490741796,0
q_200m_02,10,s200_x254461.063_y3364966.491,0.765280544757843,200,254461.06292971745,3364966.490741796,0
q_200m_03,1,s120_x254377.293_y3364407.454,0.8761274814605713,120,254377.29280875245,3364407.454095203,1
q_200m_03,2,s120_x254739.058_y3364464.565,0.8695049285888672,120,254739.0576404855,3364464.5652137767,0
q_200m_03,3,s80_x254387.293_y3364387.454,0.8662261962890625,80,254387.29280875245,3364387.454095203,1
q_200m_03,4,s120_x254467.293_y3364137.454,0.8513576984405518,120,254467.29280875245,3364137.454095203,0
q_200m_03,5,s120_x254856.545_y3366042.637,0.8446732759475708,120,254856.5454075462,3366042.637183411,0
q_200m_03,6,s200_x254866.545_y3366022.637,0.8415963053703308,200,254866.5454075462,3366022.637183411,0
q_200m_03,7,s200_x254447.293_y3364057.454,0.8391114473342896,200,254447.29280875245,3364057.454095203,0
q_200m_03,8,s120_x254404.835_y3365175.528,0.8374561667442322,120,254404.83531152448,3365175.5278006354,0
q_200m_03,9,s200_x254689.058_y3364504.565,0.8339167237281799,200,254689.0576404855,3364504.5652137767,0
q_200m_03,10,s120_x254739.058_y3364554.565,0.8302475214004517,120,254739.0576404855,3364554.5652137767,0
q_200m_04,1,s120_x254739.058_y3364464.565,0.8701846599578857,120,254739.0576404855,3364464.5652137767,1
q_200m_04,2,s120_x254377.293_y3364407.454,0.8604283928871155,120,254377.29280875245,3364407.454095203,0
q_200m_04,3,s80_x254387.293_y3364387.454,0.8427040576934814,80,254387.29280875245,3364387.454095203,0
q_200m_04,4,s120_x254856.545_y3366042.637,0.841198205947876,120,254856.5454075462,3366042.637183411,0
q_200m_04,5,s120_x254467.293_y3364137.454,0.8371239900588989,120,254467.29280875245,3364137.454095203,0
q_200m_04,6,s200_x254447.293_y3364057.454,0.8249465823173523,200,254447.29280875245,3364057.454095203,0
q_200m_04,7,s200_x254866.545_y3366022.637,0.8248921632766724,200,254866.5454075462,3366022.637183411,0
q_200m_04,8,s120_x254404.835_y3365175.528,0.8233832120895386,120,254404.83531152448,3365175.5278006354,0
q_200m_04,9,s80_x254447.293_y3364387.454,0.8231984972953796,80,254447.29280875245,3364387.454095203,0
q_200m_04,10,s200_x254689.058_y3364504.565,0.819438099861145,200,254689.0576404855,3364504.5652137767,1
q_200m_05,1,s120_x254467.293_y3364137.454,0.856103777885437,120,254467.29280875245,3364137.454095203,0
q_200m_05,2,s200_x254689.058_y3364504.565,0.8495759963989258,200,254689.0576404855,3364504.5652137767,0
q_200m_05,3,s200_x254597.293_y3364207.454,0.8484377861022949,200,254597.29280875245,3364207.454095203,1
q_200m_05,4,s120_x254377.293_y3364317.454,0.848250687122345,120,254377.29280875245,3364317.454095203,0
q_200m_05,5,s200_x254447.293_y3364357.454,0.8476364612579346,200,254447.29280875245,3364357.454095203,0
q_200m_05,6,s120_x254739.058_y3364464.565,0.845902144908905,120,254739.0576404855,3364464.5652137767,0
q_200m_05,7,s200_x254689.058_y3364804.565,0.841140627861023,200,254689.0576404855,3364804.5652137767,0
q_200m_05,8,s80_x254507.293_y3364207.454,0.8406391143798828,80,254507.29280875245,3364207.454095203,1
q_200m_05,9,s200_x254866.545_y3366022.637,0.8399646282196045,200,254866.5454075462,3366022.637183411,0
q_200m_05,10,s120_x254467.293_y3364407.454,0.8393290042877197,120,254467.29280875245,3364407.454095203,0
